latitude,longitude,country_id
38.946949,-77.522563,USA
38.789533,-77.582391,USA
38.729482,-77.787534,USA
38.776456,-77.508338,USA
38.263627,-77.311979,USA
38.223383,-77.477563,USA
38.116529,-77.504679,USA
53.704145,-6.382635,IRL
37.483530,126.672677,KOR
3.046656,101.689116,MYS
2.836875,101.815298,MYS
38.048251,-77.808182,USA
33.169132,-84.055419,USA
51.415322,-0.772540,GBR
51.624862,-1.266842,GBR
51.505388,-0.405194,GBR
51.510487,-0.495772,GBR
51.523933,-1.764446,GBR
40.875410,-76.017419,USA
33.363003,-112.191903,USA
41.794300,-0.846827,ESP
42.103448,-0.451664,ESP
41.536315,-0.685348,ESP
-37.841156,144.764231,AUS
41.665512,-86.472610,USA
41.609633,-87.169762,USA
41.503683,-87.284329,USA
45.917371,-119.265569,USA
45.798230,-119.365334,USA
45.920878,-119.230379,USA
45.850244,-119.615500,USA
45.860442,-119.605152,USA
45.819612,-119.633470,USA
45.837221,-119.690631,USA
45.841258,-119.655443,USA
45.880749,-119.340966,USA
45.903002,-119.319023,USA
45.810634,-119.268857,USA
41.083685,-76.143858,USA
33.294959,-111.608972,USA
40.269424,-84.197071,USA
38.898466,-91.425917,USA
34.838162,-79.723545,USA
29.292901,-98.391727,USA
29.449395,-98.645605,USA
-33.369085,-70.669650,CHL
-33.556133,-70.812929,CHL
37.015954,-121.558285,USA
37.371226,105.492678,CHN
1.319678,103.703038,SGP
1.372631,103.967071,SGP
-34.036234,150.767196,AUS
-33.797769,150.875538,AUS
-33.817845,150.836072,AUS
31.767987,34.993020,ISR
32.015398,34.962049,ISR
32.310353,34.960643,ISR
35.468673,129.377767,KOR
46.117115,-118.900019,USA
37.505841,105.115097,CHN
45.623272,-73.381957,CAN
37.634993,105.342355,CHN
38.630038,-77.415171,USA
54.721616,25.349629,LTU
32.831174,-117.133540,USA
32.897274,-117.201076,USA
39.914002,-105.099733,USA
39.788119,-104.987820,USA
39.894022,-86.205434,USA
30.305037,-81.395939,USA
29.406007,-98.598171,USA
35.793202,-78.728736,USA
51.265238,6.813425,DEU
34.618154,50.843545,IRN
51.424612,-0.975254,GBR
41.087954,-73.517383,USA
-33.442274,-70.642663,CHL
49.464288,18.140545,CZE
32.606946,35.258352,ISR
28.375855,76.902713,IND
30.692135,76.878221,IND
28.929765,77.096189,IND
61.188889,-149.912298,USA
42.497145,1.506744,AND
42.544593,1.517042,AND
46.617252,14.312444,AUT
54.875892,-1.590572,GBR
53.798326,-1.547089,GBR
-8.900998,13.206505,AGO
-3.743833,-38.457842,BRA
42.211381,-83.742749,USA
56.194138,14.851435,SWE
56.878449,14.779809,SWE
-34.897928,-56.191558,URY
-34.725114,-55.947197,URY
51.263858,4.405703,BEL
40.961520,141.314666,JPN
-1.948441,30.090525,RWA
38.943777,-94.790571,USA
48.198272,16.365217,AUT
55.683863,-2.365834,GBR
55.458039,-4.413745,GBR
56.030997,-3.842926,GBR
55.790788,-3.974601,GBR
1.326863,103.746832,SGP
46.518855,6.631874,CHE
33.893651,130.713029,JPN
62.348662,27.838569,FIN
-53.043690,-70.869839,CHL
42.078242,-87.919608,USA
26.356923,106.475663,CHN
35.588522,-81.261224,USA
33.348077,-111.620883,USA
37.510030,-122.001868,USA
44.295688,-120.882770,USA
39.571613,-119.537158,USA
56.483216,9.573957,DNK
41.620851,-93.924402,USA
43.070788,12.346790,ITA
41.467536,-94.606292,USA
46.014355,-98.572543,USA
47.026601,-98.680445,USA
31.379481,-92.688203,USA
22.453508,114.187972,HKG
45.336888,9.127876,ITA
38.950642,-77.397687,USA
-6.815394,39.289145,TZA
41.230827,16.347403,ITA
31.967342,35.898965,JOR
62.216446,27.668977,FIN
64.094212,29.477262,FIN
65.055269,25.593145,FIN
62.626721,26.794495,FIN
41.522033,-75.559292,USA
44.366910,-93.284746,USA
45.954172,13.668529,SVN
40.439574,-80.142018,USA
-6.444590,106.872801,IDN
-12.429317,130.882937,AUS
38.977302,-1.857473,ESP
49.218559,-68.188297,CAN
51.282376,-0.795291,GBR
44.204667,-88.344814,USA
51.529937,-0.266241,GBR
51.380533,-0.594631,GBR
51.620151,-0.040514,GBR
51.418308,-2.217470,GBR
51.657632,-0.348619,GBR
-27.107700,-48.918675,BRA
-26.242653,-48.883480,BRA
64.134109,-21.877000,ISL
46.037869,14.483976,SVN
46.049673,14.460608,SVN
46.565428,15.606785,SVN
-34.410169,-58.719507,ARG
42.469180,-2.432492,ESP
52.863918,-8.930116,IRL
41.152554,-8.598222,PRT
40.660750,-7.915435,PRT
45.157767,1.509159,FRA
35.682303,139.765954,JPN
34.690351,135.497981,JPN
47.386268,8.500555,CHE
47.369949,8.525095,CHE
54.383806,18.640022,POL
54.459309,18.459697,POL
43.476482,11.849318,ITA
43.459601,11.838116,ITA
41.931969,12.627922,ITA
51.883867,8.437719,DEU
35.769968,51.426726,IRN
43.442450,-5.817089,ESP
43.439303,-5.851121,ESP
55.888962,-3.558275,GBR
53.467773,-2.266838,GBR
-23.676171,-46.699238,BRA
1.334451,103.887679,SGP
